userId,id,rating
1,397003,1
1,324308,0.5
1,983324,2
1,293262,0.5
1,667198,2
1,598577,3.5
1,887344,2
1,341426,0.5
1,808,2.5
1,303903,3.5
1,20083,4.5
1,5123,5
1,298618,2
1,637202,3.5
1,335778,5
1,385736,1
1,614399,5
1,384680,5
1,365083,5
2,14048,3
2,506464,0.5
2,608590,0.5
2,42296,5
2,610290,2
2,242224,4.5
2,491201,3
2,409447,3.5
2,7872,0.5
2,1014066,2
2,1036770,3.5
2,336456,4.5
2,619979,4.5
2,527795,1
2,2486,1
2,603519,0.5
2,732670,1.5
2,450193,5
2,674247,4.5
2,430446,3.5
3,323140,5
3,295883,0.5
3,114760,4.5
3,750540,0.5
3,484247,1.5
3,116149,5
3,444090,0.5
3,54868,3
3,888652,3
3,367807,3
3,454,3.5
3,662541,0.5
3,558915,4
3,538362,3
3,9270,4.5
3,457703,1
3,1417024,4
3,294272,2.5
3,19585,4.5
3,454458,0.5
4,294422,1
4,3989,1.5
4,70697,0.5
4,862551,3
4,64688,1.5
4,353491,1.5
4,10191,3
4,399404,0.5
4,611667,2
5,757451,2
5,321,1
5,543084,2
5,271864,1
5,941019,4.5
5,177221,4.5
5,863019,0.5
5,347203,4
6,254642,2.5
6,681019,1
6,883083,1.5
6,954131,2
6,627290,1.5
6,717082,4.5
6,598215,3.5
6,23520,2
6,57353,3.5
6,425505,0.5
6,925977,2
6,456735,2.5
6,567598,5
6,51540,0.5
6,284674,3
7,408296,4
7,693751,0.5
7,343724,3.5
7,417377,3
7,4771,4.5
7,974931,2.5
7,606856,3.5
7,285783,5
8,10067,1.5
8,1197641,1.5
8,375588,2.5
8,840146,4
8,114021,1.5
8,628917,4
8,546554,2
8,474118,2
8,560057,3.5
8,18975,3
8,13054,2
8,511819,2
9,325173,3.5
9,1255,0.5
9,451751,2
9,35691,0.5
9,640121,2
9,530154,3.5
9,338947,5
9,246899,4
9,791,3
9,423628,2
10,340666,4.5
10,598577,1
10,19912,2
10,14254,1.5
10,487674,2
10,10153,2
11,13065,2
11,415288,2
11,494667,2.5
12,1126083,2.5
12,623664,2
12,57521,4
12,530154,0.5
12,49524,4.5
12,620039,3.5
12,390319,4.5
12,459258,4.5
13,327266,3.5
13,253376,5
13,1072487,5
13,429197,4.5
13,560527,3.5
13,169644,1
13,390989,4.5
13,4638,3
13,487242,1.5
13,55787,5
14,295699,0.5
14,637395,2.5
14,485517,0.5
14,587813,3.5
14,13567,2.5
15,133704,2.5
15,603258,3.5
15,565531,4
15,14442,2
15,363771,2
15,1125,4.5
